model_id,concurrent requests,throughput (t/s),Time-to-first-token @ P50 (s),average latency (ms)
mistralai/Mistral-7b-Instruct-v0.2,1,35.92399847852813,0.41966115000013815,27.297502091393472
mistralai/Mistral-7b-Instruct-v0.2,2,66.62797284105788,0.4192565015000582,27.656168455447084
mistralai/Mistral-7b-Instruct-v0.2,4,121.4131702138647,0.43406954950023646,29.248744935461257
mistralai/Mistral-7b-Instruct-v0.2,8,219.73602380028635,0.4860830325014831,30.92461100672656
mistralai/Mistral-7b-Instruct-v0.2,16,356.56678802843027,0.9171264405003967,35.20068291487033
mistralai/Mistral-7b-Instruct-v0.2,32,541.0573103946762,1.208656268499908,43.167711365755366
mistralai/Mistral-7b-Instruct-v0.2,64,776.0815158477413,1.7710106825006733,58.09934431995328
mistralai/Mistral-7b-Instruct-v0.2,128,230.56040274390526,2.782779336999738,470.2670343180777
mistralai/Mistral-7b-Instruct-v0.2,256,213.6881923862278,76.57764593600041,641.7934721784355
mistralai/Mistral-7b-Instruct-v0.2,512,203.81579039071514,94.5579175594994,742.1399977911306
